Unidad,Descripcion,LiveSharingUrl
"277","277","https://cloud.samsara.com/o/9006365/fleet/viewer/03VN31FLaRwyceWt2fma"
"274","274","https://cloud.samsara.com/o/9006365/fleet/viewer/09xs7qM9v424bBebvVFt"
"239","239","https://cloud.samsara.com/o/9006365/fleet/viewer/11dX5NhReS8wv6LLOV0j"
"215","215","https://cloud.samsara.com/o/9006365/fleet/viewer/130bHYQXFopgaMiXkvQB"
"197","197","https://cloud.samsara.com/o/9006365/fleet/viewer/15mgHRBaMM3sQVysk45G"
"223","223","https://cloud.samsara.com/o/9006365/fleet/viewer/1EhpyFvqQ4REPmHxiYMQ"
"146","146","https://cloud.samsara.com/o/9006365/fleet/viewer/1f15jAbwPzFq9I7NAkIn"
"227","227","https://cloud.samsara.com/o/9006365/fleet/viewer/1qehgbY9IqQKr2No3Tcx"
"273","273","https://cloud.samsara.com/o/9006365/fleet/viewer/1s60zt7aOgfh7bgJdZMk"
"288","288","https://cloud.samsara.com/o/9006365/fleet/viewer/23pryCnESrSfLzw6md5U"
"197","197","https://cloud.samsara.com/o/9006365/fleet/viewer/3ZhBXQh94QzpfaEBbM4V"
"258","258","https://cloud.samsara.com/o/9006365/fleet/viewer/3eJ8yoa7bBKl0RnwNai4"
"255","255","https://cloud.samsara.com/o/9006365/fleet/viewer/3mZMlN1DVoVkTapCKDoi"
"214","214","https://cloud.samsara.com/o/9006365/fleet/viewer/3u94CEXkNGClwsCpX8zV"
"230","230","https://cloud.samsara.com/o/9006365/fleet/viewer/400jlN7P6Z5qbrMiY6r9"
"298","298","https://cloud.samsara.com/o/9006365/fleet/viewer/4GYm8UAJwzw7KoQT4EOo"
"224","224","https://cloud.samsara.com/o/9006365/fleet/viewer/4PWjznFUCf2oYvBr2jfv"
"180","180","https://cloud.samsara.com/o/9006365/fleet/viewer/4Z73HSEbEONE1aZchQjH"
"250","250","https://cloud.samsara.com/o/9006365/fleet/viewer/4ZosEDDWNvhHmnhRexqm"
"233","233","https://cloud.samsara.com/o/9006365/fleet/viewer/4l9rNIOITESTrF64VtGe"
"180","180","https://cloud.samsara.com/o/9006365/fleet/viewer/4qgyBUtohRXcTM80lf06"
"242","242","https://cloud.samsara.com/o/9006365/fleet/viewer/5SUCUBcUUfPZSMboS3cG"
"233","233","https://cloud.samsara.com/o/9006365/fleet/viewer/5egvIE5ylvZfZ6vBwia9"
"257","257","https://cloud.samsara.com/o/9006365/fleet/viewer/6ApZb4JmsHpwcfJ4FjSw"
"283","283","https://cloud.samsara.com/o/9006365/fleet/viewer/6fGkfuKRenepqvyREuuY"
"200","200","https://cloud.samsara.com/o/9006365/fleet/viewer/7Vo0gGcTMIwB8qzdpJL0"
"257","257","https://cloud.samsara.com/o/9006365/fleet/viewer/82P3evx30koiaigZdLdY"
"276","276","https://cloud.samsara.com/o/9006365/fleet/viewer/9gfzt6e4CIpwj5nTqxYJ"
"252","252","https://cloud.samsara.com/o/9006365/fleet/viewer/9vdjdF9nZ86Va84vUky9"
"169","169","https://cloud.samsara.com/o/9006365/fleet/viewer/AsnI7fh28l7GPkzmFiXM"
"TC-255","TC-255","https://cloud.samsara.com/o/9006365/fleet/viewer/Ay0sWz9WVNBGethPvquP"
"245","245","https://cloud.samsara.com/o/9006365/fleet/viewer/AznO3lB8VRsPCFiJIXUD"
"240","240","https://cloud.samsara.com/o/9006365/fleet/viewer/BDuzx2AqBRzvaGgtxXXH"
"284","284","https://cloud.samsara.com/o/9006365/fleet/viewer/BG4tuce8dqYDhDWlWawg"
"272","272","https://cloud.samsara.com/o/9006365/fleet/viewer/BdlRfMhRIZqpkIUWeta3"
"212","212","https://cloud.samsara.com/o/9006365/fleet/viewer/CUPLR3lJbiSO1ZuLQSMH"
"288","288","https://cloud.samsara.com/o/9006365/fleet/viewer/CWT0FRS0XCylz8canvdx"
"699","699","https://cloud.samsara.com/o/9006365/fleet/viewer/CtuHsRNclxkJ0g9f9878"
"195","195","https://cloud.samsara.com/o/9006365/fleet/viewer/CwsidotmDyi1X99ftsWd"
"220","220","https://cloud.samsara.com/o/9006365/fleet/viewer/D4xYqT8SgfyT3Kghu4mO"
"223","223","https://cloud.samsara.com/o/9006365/fleet/viewer/DAuTaq6RDbsf9pkW6RF9"
"196","196","https://cloud.samsara.com/o/9006365/fleet/viewer/DTcPf2w2VUHDXikDT6Yw"
"223","223","https://cloud.samsara.com/o/9006365/fleet/viewer/E9se6HSrkZHbt5tspwNS"
"236","236","https://cloud.samsara.com/o/9006365/fleet/viewer/EDK8eUEmgnXeXLTxEEeq"
"282","282","https://cloud.samsara.com/o/9006365/fleet/viewer/F0g2K86Y3COawY30J4zH"
"215","215","https://cloud.samsara.com/o/9006365/fleet/viewer/FIEibMgvcQ7wglzfhSbF"
"235","235","https://cloud.samsara.com/o/9006365/fleet/viewer/FJqtOd5LJ1qWHtFOXcXZ"
"271","271","https://cloud.samsara.com/o/9006365/fleet/viewer/Fp2VNVyEtDpUGNfuK0Pa"
"197","197","https://cloud.samsara.com/o/9006365/fleet/viewer/FpI5LnJTtrsCA0Dk4yGq"
"273","273","https://cloud.samsara.com/o/9006365/fleet/viewer/H1OpeG1C1zfOD8HitRzT"
"251","251","https://cloud.samsara.com/o/9006365/fleet/viewer/HEph5YgFPnQmC33zQdFJ"
"257","257","https://cloud.samsara.com/o/9006365/fleet/viewer/HO4ekmiNa1wtlVraCjjY"
"194","194","https://cloud.samsara.com/o/9006365/fleet/viewer/I6CmlRmabNotzAT5Gipy"
"251","251","https://cloud.samsara.com/o/9006365/fleet/viewer/IL3IjFgoYDzYcHvzUo3T"
"240","240","https://cloud.samsara.com/o/9006365/fleet/viewer/IeLGZh3zcZPfUwlWv4cV"
"215","215","https://cloud.samsara.com/o/9006365/fleet/viewer/InkYoxq9Fdremtet1pOS"
"222","222","https://cloud.samsara.com/o/9006365/fleet/viewer/JXElc0pMqD96vCyNF1hF"
"283","283","https://cloud.samsara.com/o/9006365/fleet/viewer/JkDNjWuL6PkFB2iBONpE"
"265","265","https://cloud.samsara.com/o/9006365/fleet/viewer/Jw6JQwtN6I8H1HwT6XPG"
"301","301","https://cloud.samsara.com/o/9006365/fleet/viewer/Jyt9Ma4PWtutd9Vk33L9"
"286","286","https://cloud.samsara.com/o/9006365/fleet/viewer/KFroYCcgfPVnxiJ9WRMj"
"295","295","https://cloud.samsara.com/o/9006365/fleet/viewer/KcDe2xSDOfrsalgnE7L1"
"251","251","https://cloud.samsara.com/o/9006365/fleet/viewer/KxJ8j8IUHJUxG34djRR7"
"229","229","https://cloud.samsara.com/o/9006365/fleet/viewer/LfyfOb8ohEi1gcjNW7JB"
"239","239","https://cloud.samsara.com/o/9006365/fleet/viewer/N6qQIhy4iAvFgEHR6Om7"
"290","290","https://cloud.samsara.com/o/9006365/fleet/viewer/OQEpx5G1FaHO0fpQAi1x"
"212","212","https://cloud.samsara.com/o/9006365/fleet/viewer/OfOQLyMjIgc4YA9xddON"
"301","301","https://cloud.samsara.com/o/9006365/fleet/viewer/Og1OLHEzxVS4VQUUBSwC"
"686","686","https://cloud.samsara.com/o/9006365/fleet/viewer/OlntKHegXnyeJlhf2bs0"
"221","221","https://cloud.samsara.com/o/9006365/fleet/viewer/PEcGi82fX8OrXFfmixzB"
"208","208","https://cloud.samsara.com/o/9006365/fleet/viewer/PFMBlOQTelGI74tBGoMf"
"227","227","https://cloud.samsara.com/o/9006365/fleet/viewer/PYY87zez1iaRq7C4h7U7"
"T-167","T-167","https://cloud.samsara.com/o/9006365/fleet/viewer/QTXjFZGg6hBLZBEshKqB"
"624","624","https://cloud.samsara.com/o/9006365/fleet/viewer/QolWPVAK0w4yPZWj8kck"
"TC-249","TC-249","https://cloud.samsara.com/o/9006365/fleet/viewer/RE2Kf9vopnmidLyg3k6w"
"197","197","https://cloud.samsara.com/o/9006365/fleet/viewer/RUoj222kfFBPqtMAv7TS"
"236","236","https://cloud.samsara.com/o/9006365/fleet/viewer/Rnvul4dlF9XV17neCe6V"
"264","264","https://cloud.samsara.com/o/9006365/fleet/viewer/RpFUiPHhF1fuMou3CEQy"
"670","670","https://cloud.samsara.com/o/9006365/fleet/viewer/ScmzVokuY1qf2FT1crmT"
"247","247","https://cloud.samsara.com/o/9006365/fleet/viewer/TSjpcJNEKx9zPoadGxA7"
"284","284","https://cloud.samsara.com/o/9006365/fleet/viewer/TxPK31fpV0vUsKHpRKt6"
"685","685","https://cloud.samsara.com/o/9006365/fleet/viewer/UD7HEjZltrwlgMabRNm5"
"277","277","https://cloud.samsara.com/o/9006365/fleet/viewer/UNeHCPohqGxZ9G4bfADt"
"167","167","https://cloud.samsara.com/o/9006365/fleet/viewer/UbKZDLXRJLMSCiFWNc35"
"240","240","https://cloud.samsara.com/o/9006365/fleet/viewer/UyHF808rvcfXexfeugzB"
"197","197","https://cloud.samsara.com/o/9006365/fleet/viewer/VR3UCttqrZWSwOIx8rUZ"
"298","298","https://cloud.samsara.com/o/9006365/fleet/viewer/VazHRjCkpaocdWwWe4FU"
"243","243","https://cloud.samsara.com/o/9006365/fleet/viewer/VfDThE7jIVNdBj9Dyf0J"
"163","163","https://cloud.samsara.com/o/9006365/fleet/viewer/Vx8Tt6FUmvtIAGjvQzjH"
"224","224","https://cloud.samsara.com/o/9006365/fleet/viewer/WV54wvK0OIlK7Lw5anUh"
"194","194","https://cloud.samsara.com/o/9006365/fleet/viewer/WVVyhcdRMBL8TUdM1ERD"
"258 - Fleet App","258","https://cloud.samsara.com/o/9006365/fleet/viewer/WwCdo2CCtFyq8yyFaWT1"
"238","238","https://cloud.samsara.com/o/9006365/fleet/viewer/XKrA0V4UeY1jIe5JFq5e"
"195","195","https://cloud.samsara.com/o/9006365/fleet/viewer/XmH1Ub5EsF7r6coRb6Yj"
"221","221","https://cloud.samsara.com/o/9006365/fleet/viewer/Y397rBu5lMaEtboFKbfQ"
"241","241","https://cloud.samsara.com/o/9006365/fleet/viewer/YKrIGTYCTEY7bXMffnh3"
"259","259","https://cloud.samsara.com/o/9006365/fleet/viewer/YagY73iVrZhGrhzP1d1D"
"288","288","https://cloud.samsara.com/o/9006365/fleet/viewer/Yc22WXt0OYEVHnEXzIfv"
"253","253","https://cloud.samsara.com/o/9006365/fleet/viewer/ZFcoeIUc0ZcIMcpJuoVM"
"200","200","https://cloud.samsara.com/o/9006365/fleet/viewer/ZQBRFO5HTLbDllWPJppp"
"295","295","https://cloud.samsara.com/o/9006365/fleet/viewer/aL62QaT7kLGIf382n8pT"
"242 - Fleet App","242","https://cloud.samsara.com/o/9006365/fleet/viewer/aOrNH05unX52AsOPp2Vx"
"272","272","https://cloud.samsara.com/o/9006365/fleet/viewer/bKkQMvxWKfeoV9FBjkw6"
"212","212","https://cloud.samsara.com/o/9006365/fleet/viewer/c0tLozo5dyCoXqgXLbHW"
"609","609","https://cloud.samsara.com/o/9006365/fleet/viewer/c44pgJAUW0jbi979l7eT"
"291","291","https://cloud.samsara.com/o/9006365/fleet/viewer/cIHs5ZYsGg0sqsXCMPcd"
"267","267","https://cloud.samsara.com/o/9006365/fleet/viewer/cIYNRI87lwJvwzVViv7k"
"246","246","https://cloud.samsara.com/o/9006365/fleet/viewer/cfME9DKQLCDwNGFLsY1e"
"T-210","T-210","https://cloud.samsara.com/o/9006365/fleet/viewer/clEYCIhgdDYTcdtoqOnu"
